start_date_new,nhood,num_parking_meters,wday
2019-11-09,Castro/Upper Market,2026,7
2019-11-09,Chinatown,2374,7
2019-11-09,Excelsior,1213,7
2019-11-09,Financial District/South Beach,9896,7
2019-11-09,Glen Park,436,7
2019-11-09,Golden Gate Park,56,7
2019-11-09,Haight Ashbury,1412,7
2019-11-09,Hayes Valley,2706,7
2019-11-09,Inner Richmond,4978,7
2019-11-09,Inner Sunset,1942,7
2019-11-09,Japantown,1661,7
2019-11-09,Lakeshore,61,7
2019-11-09,Lone Mountain/USF,454,7
2019-11-09,Marina,4428,7
2019-11-09,Mission,8765,7
2019-11-09,Mission Bay,3293,7
2019-11-09,Nob Hill,2750,7
2019-11-09,Noe Valley,1498,7
2019-11-09,North Beach,4127,7
2019-11-09,Oceanview/Merced/Ingleside,256,7
2019-11-09,Outer Mission,1166,7
2019-11-09,Outer Richmond,4033,7
2019-11-09,Pacific Heights,2438,7
2019-11-09,Portola,738,7
2019-11-09,Potrero Hill,432,7
2019-11-09,Presidio Heights,1830,7
2019-11-09,Russian Hill,2451,7
2019-11-09,South of Market,4530,7
2019-11-09,Sunset/Parkside,4921,7
2019-11-09,Tenderloin,2751,7
2019-11-09,Visitacion Valley,123,7
2019-11-09,West of Twin Peaks,4675,7
2019-11-09,Western Addition,1768,7
2019-11-09,NA,1865,7
2019-11-11,Bayview Hunters Point,74,2
2019-11-11,Bernal Heights,971,2
2019-11-11,Castro/Upper Market,1609,2
2019-11-11,Chinatown,2057,2
2019-11-11,Excelsior,876,2
2019-11-11,Financial District/South Beach,8217,2
2019-11-11,Glen Park,336,2
2019-11-11,Golden Gate Park,27,2
2019-11-11,Haight Ashbury,1105,2
2019-11-11,Hayes Valley,2081,2
2019-11-11,Inner Richmond,4312,2
2019-11-11,Inner Sunset,1567,2
2019-11-11,Japantown,1591,2
2019-11-11,Lakeshore,17,2
2019-11-11,Lone Mountain/USF,310,2
2019-11-11,Marina,4061,2
2019-11-11,Mission,7363,2
2019-11-11,Mission Bay,3303,2
2019-11-11,Nob Hill,2239,2
2019-11-11,Noe Valley,1202,2
2019-11-11,North Beach,3366,2
2019-11-11,Oceanview/Merced/Ingleside,183,2
2019-11-11,Outer Mission,933,2
2019-11-11,Outer Richmond,3218,2
2019-11-11,Pacific Heights,2068,2
2019-11-11,Portola,638,2
2019-11-11,Potrero Hill,470,2
2019-11-11,Presidio Heights,2065,2
2019-11-11,Russian Hill,2224,2
2019-11-11,South of Market,3719,2
2019-11-11,Sunset/Parkside,3873,2
2019-11-11,Tenderloin,1920,2
2019-11-11,Visitacion Valley,80,2
2019-11-11,West of Twin Peaks,3761,2
2019-11-11,Western Addition,1694,2
2019-11-11,NA,1157,2
2019-11-12,Bayview Hunters Point,124,3
